model,count,mean,std,min,25%,50%,75%,max,Rotation,Dataset
dt,20.0,0.9426333236667632,0.009974070515643568,0.9266557334426656,0.9349206507934921,0.9410180898191018,0.9499317506824931,0.962760372396276,rot,CIC-IDS-2017
lgbm,20.0,0.9735830141698584,0.002858277169997888,0.969460305396946,0.9714577854221459,0.972970270297297,0.9752127478725212,0.980190198098019,rot,CIC-IDS-2017
mlp,20.0,0.9664840851591483,0.007388085008637548,0.9478705212947872,0.9623641263587364,0.9656678433215669,0.9716090339096608,0.9774302256977432,rot,CIC-IDS-2017
resnet,20.0,0.9589901600983992,0.009806997706336648,0.929080709192908,0.9555941940580595,0.9619128808711914,0.9655728442715572,0.9692103078969212,rot,CIC-IDS-2017
rf,20.0,0.9418168318316816,0.005438191967342451,0.9345456545434546,0.937939370606294,0.9410230897691023,0.9421555784442156,0.9526054739452604,rot,CIC-IDS-2017
saint,20.0,0.9440633093669064,0.03255120883104373,0.8157118428815712,0.9467267827321727,0.951190488095119,0.9552254477455226,0.971620283797162,rot,CIC-IDS-2017
xgb,20.0,0.9838306616933832,0.002936836979860644,0.9778652213477864,0.9819151808481914,0.9842176578234219,0.9854826451735483,0.9894051059489404,rot,CIC-IDS-2017
catboost,20.0,0.9889743051284743,0.0009974830088192986,0.98760006199969,0.9880738096309518,0.9888050559747201,0.9897800510997447,0.9910700446497768,rot,CIC-IDS-2018
dt,20.0,0.9912972935135326,0.002058275578875387,0.9874150629246854,0.9902725486372568,0.9920575397123015,0.9926162869185654,0.9938900305498471,rot,CIC-IDS-2018
lgbm,20.0,0.9954615226923866,3.927280226168706e-05,0.995320023399883,0.9954487727561363,0.9954625226873866,0.9954850225748872,0.995515022424888,rot,CIC-IDS-2018
mlp,20.0,0.991917540412298,0.00302574641090336,0.9815150924245378,0.9926787866060669,0.9928875355623222,0.9930262848685757,0.9932650336748317,rot,CIC-IDS-2018
