model,count,mean,std,min,25%,50%,75%,max,Rotation,Dataset
saint,20.0,0.9775796172285673,0.02146341764326088,0.9358006344031896,0.9751378739184516,0.985786678382624,0.9924445051054209,0.998402645443336,no_rot,IoTID20
xgb,20.0,0.9992064304730699,1.1390647892519134e-16,0.9992064304730698,0.9992064304730698,0.9992064304730698,0.9992064304730698,0.9992064304730698,no_rot,IoTID20
catboost,20.0,0.9999879999699998,2.5130983183068497e-06,0.999985,0.999985,0.9999899999499996,0.9999899999499996,0.9999899999499996,rot,BOT-IoT
dt,20.0,0.9999934999599999,4.006580771007457e-06,0.999985,0.9999899999499996,0.9999949999499996,0.9999949999499996,1.0,rot,BOT-IoT
lgbm,20.0,0.9999804122408389,4.6469427315167795e-06,0.9999785182997234,0.9999789135666345,0.999979436282824,0.9999799999499996,1.0,rot,BOT-IoT
mlp,20.0,0.9999897499524997,1.1180228083171055e-06,0.999985,0.9999899999499996,0.9999899999499996,0.9999899999499996,0.9999899999499996,rot,BOT-IoT
resnet,20.0,0.9999894999549996,1.5389521383245708e-06,0.999985,0.9999899999499996,0.9999899999499996,0.9999899999499996,0.9999899999499996,rot,BOT-IoT
rf,20.0,0.9999907499499997,1.831737742674616e-06,0.9999899999499996,0.9999899999499996,0.9999899999499996,0.9999899999499996,0.9999949999499996,rot,BOT-IoT
saint,20.0,0.9999800000999995,1.1390647892519134e-16,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,rot,BOT-IoT
xgb,20.0,0.9999919999649999,4.70163353485301e-06,0.999985,0.9999899999499996,0.9999899999499996,0.9999949999499996,1.0,rot,BOT-IoT
catboost,20.0,0.9999634510957923,1.8598237964864394e-05,0.999924902373085,0.9999549397318905,0.9999699591444358,0.9999762177500173,0.9999849795722182,rot,CIC-DDoS-2019
dt,20.0,0.9999764683423982,1.5246260014167286e-05,0.9999349150641588,0.9999699597084588,0.9999799728130936,0.9999899860430475,0.9999899863313424,rot,CIC-DDoS-2019
lgbm,20.0,0.999037852193023,0.00033974066890568453,0.9985632183908046,0.9987640790006593,0.9989706964063234,0.999273137916427,0.999739623756328,rot,CIC-DDoS-2019
mlp,20.0,0.9999899863288346,9.411538386607216e-11,0.9999899860305126,0.9999899863313424,0.9999899863313424,0.9999899863814788,0.9999899864817504,rot,CIC-DDoS-2019
resnet,20.0,0.9999842287689085,1.3519408623838683e-05,0.999929908881546,0.9999849795722182,0.9999899863062738,0.9999899863313424,0.9999899863814788,rot,CIC-DDoS-2019
rf,20.0,0.9999844789702559,4.266921941467257e-06,0.9999749663297136,0.9999799730387033,0.9999849795722182,0.9999862313748048,0.9999899864316149,rot,CIC-DDoS-2019
saint,20.0,0.9993026905975183,0.0005522241157731767,0.998630013699863,0.9988247687285546,0.9991695654497661,0.9999411085863665,1.0,rot,CIC-DDoS-2019
xgb,20.0,0.9999927401240652,3.0281167300440353e-06,0.9999849796474224,0.9999899864190809,0.9999949931656712,0.9999949931656712,0.9999949931907394,rot,CIC-DDoS-2019
catboost,20.0,0.9054643115924259,0.009784089343644588,0.8809358350706509,0.9043976265689039,0.9074293871905108,0.9116321892516741,0.916204231597618,rot,CIC-IDS-2017
dt,20.0,0.8684483197527577,0.03620053969673176,0.7954011021558456,0.8437622352644876,0.8677720938625688,0.896673760010694,0.92460036422501,rot,CIC-IDS-2017
lgbm,20.0,0.9193043007286013,0.00984265705923298,0.9054286416113976,0.9118122863435909,0.917183429657154,0.9254777962705215,0.93763632128412,rot,CIC-IDS-2017
mlp,20.0,0.9076751948843338,0.026262022888577128,0.8495470212645735,0.8948177486755768,0.9090882499417944,0.9211915064055035,0.9567482812688456,rot,CIC-IDS-2017
resnet,20.0,0.8839248498892716,0.03301762618426332,0.7640956859815623,0.8777341087544654,0.8914982695742075,0.901711908079972,0.918019943019943,rot,CIC-IDS-2017
rf,20.0,0.9084585376688379,0.01079488056050852,0.8774496015002344,0.9054750258471939,0.9124088333188788,0.9158158789520812,0.9177770866725676,rot,CIC-IDS-2017
saint,20.0,0.8874750369775384,0.039359183275496,0.7610969748374329,0.8695802378975674,0.8975493024228147,0.9022051923429405,0.9716042481833428,rot,CIC-IDS-2017
xgb,20.0,0.9516580411016236,0.01049857837472586,0.9309697557683384,0.9454002858971533,0.9508896156764947,0.9587215525357301,0.9733172549879412,rot,CIC-IDS-2017
catboost,20.0,0.9868519070470831,0.003093462471489298,0.9814124872057318,0.9851704200774283,0.9866640473112962,0.9900460229200644,0.9911068009243976,rot,CIC-IDS-2018
dt,20.0,0.9891059942729088,0.004568672943511745,0.9782073456099298,0.9864393964872572,0.989224447094047,0.9919786714499166,0.9955821695525638,rot,CIC-IDS-2018
lgbm,20.0,0.9993220197337654,0.0001535947699822918,0.9987884015114178,0.999239887421164,0.9993630328343084,0.9994246141825316,0.9994862626636254,rot,CIC-IDS-2018
mlp,20.0,0.9908486493312229,0.013680994318624224,0.944954841215888,0.9944231633029197,0.995171006350829,0.9958833432233491,0.9968231046931408,rot,CIC-IDS-2018
resnet,20.0,0.9923424152266824,0.002083458131523167,0.987755268913919,0.9909820893125421,0.9923904339700637,0.9941517466994595,0.995446960176353,rot,CIC-IDS-2018
rf,20.0,0.9933444619342808,0.0011045366172433904,0.991394640557611,0.992613021834417,0.9931947377964182,0.9938188171983328,0.9955053873781426,rot,CIC-IDS-2018
