model,count,mean,std,min,25%,50%,75%,max,Rotation,Dataset
rf,20.0,0.9999953749528123,9.158757403544116e-07,0.9999949999499996,0.9999949999499996,0.9999949999499996,0.9999949999499996,0.9999974999687496,rot,BOT-IoT
saint,20.0,0.9999899999499998,0.0,0.9999899999499998,0.9999899999499998,0.9999899999499998,0.9999899999499998,0.9999899999499998,rot,BOT-IoT
xgb,20.0,0.9999959999612498,2.35083187986534e-06,0.9999924999437496,0.9999949999499996,0.9999949999499996,0.9999974999687496,1.0,rot,BOT-IoT
catboost,20.0,0.9999700845669102,1.103136794988578e-05,0.9999399182888729,0.9999662042818952,0.9999712109564243,0.999978095226719,0.9999849796474224,rot,CIC-DDoS-2019
dt,20.0,0.9999778449282418,7.367057525378101e-06,0.9999624499645776,0.9999743399066893,0.9999787210449733,0.9999831020328462,0.9999874830081836,rot,CIC-DDoS-2019
lgbm,20.0,0.9950072959014417,0.009023129342912092,0.9672505161111956,0.9976713251059366,0.9988835806942875,0.9991309601597704,0.9996970751478949,rot,CIC-DDoS-2019
mlp,20.0,0.9999873577524065,4.699361474169361e-06,0.9999724620664966,0.9999874829455132,0.9999874829455132,0.9999899863814788,0.9999949932158076,rot,CIC-DDoS-2019
resnet,20.0,0.9999849796217258,6.343325837544058e-06,0.9999599467291496,0.9999849795722182,0.9999874829455132,0.9999874829455132,0.9999899863814788,rot,CIC-DDoS-2019
rf,20.0,0.9999864816419445,3.0821204262586126e-06,0.9999799727629576,0.9999849795722182,0.9999862312964678,0.9999881088985096,0.99999248980491,rot,CIC-DDoS-2019
saint,20.0,0.9435450706903147,0.19488765145527764,0.145661670156023,0.9993145373126862,0.9994782876861984,0.9996715199073015,0.9999649523351758,rot,CIC-DDoS-2019
xgb,20.0,0.9999918639289979,1.598832739340739e-06,0.9999874830081836,0.9999918639208507,0.999992489767308,0.999992489767308,0.9999949931907394,rot,CIC-DDoS-2019
catboost,20.0,0.8582444993305641,0.0180472307245557,0.8428750277885032,0.8498229262392557,0.8518684271434666,0.8578437765728293,0.9152297783389748,rot,CIC-IDS-2017
dt,20.0,0.8741704227941209,0.023803582341014647,0.838356293751697,0.8551190201997653,0.8745809514411144,0.8942090964300942,0.9203064478161312,rot,CIC-IDS-2017
lgbm,20.0,0.9432158758968777,0.005994333456786037,0.9347073160302732,0.9385361357698733,0.9419559990166162,0.9468367351690162,0.9571759009057698,rot,CIC-IDS-2017
mlp,20.0,0.9274732913368835,0.017383722484595687,0.88156848490356,0.9165959927696226,0.9280337834499341,0.94033068452537,0.952017517751605,rot,CIC-IDS-2017
resnet,20.0,0.9124122339619672,0.021065383772556515,0.8638719336634804,0.9025751166248239,0.9196991494500646,0.927675670878003,0.9344977236948474,rot,CIC-IDS-2017
rf,20.0,0.8653701800256863,0.013457623242086337,0.8509546553047223,0.8559036014871876,0.8629487085587451,0.8655888994708961,0.8925880179945381,rot,CIC-IDS-2017
saint,20.0,0.8640759776576272,0.1305403135035786,0.3204646017699115,0.8813912373324371,0.8913662282268189,0.9042411639591881,0.9386656869313392,rot,CIC-IDS-2017
xgb,20.0,0.964823713507778,0.006240970738581017,0.9522484332696934,0.9607357118633487,0.965574197639611,0.9682647709742177,0.9766899510477972,rot,CIC-IDS-2017
catboost,20.0,0.9775230414162891,0.0020166311938345297,0.9747875238908544,0.9757039281350074,0.9771512589674063,0.9791426710194446,0.9818141088302378,rot,CIC-IDS-2018
dt,20.0,0.9822903569456015,0.004258212619533206,0.9740753329419398,0.9802348560130543,0.9839190496074791,0.9850340130829061,0.987580543529077,rot,CIC-IDS-2018
lgbm,20.0,0.9907553338025913,7.944427044948886e-05,0.9904694023011912,0.9907288817552524,0.9907577619541554,0.9908026074528312,0.9908639988592728,rot,CIC-IDS-2018
mlp,20.0,0.9836054912439807,0.005890293781661335,0.9633956771849226,0.9850748467811654,0.9854957273617653,0.9857738449946833,0.9862535590729572,rot,CIC-IDS-2018
resnet,20.0,0.9840123399492071,0.0010287294096836697,0.9817845641197566,0.9832297051234964,0.9840212588793762,0.9849339956322068,0.9855486318623602,rot,CIC-IDS-2018
rf,20.0,0.9856950932351267,0.0017517015048549103,0.9810352407144244,0.9857274541806976,0.9861823291661461,0.98676834450192,0.9875100520160018,rot,CIC-IDS-2018
saint,20.0,0.9736905495763972,0.02413466618839998,0.8790720795360398,0.9766806762853277,0.9832411436639061,0.9843419262683791,0.985421491313086,rot,CIC-IDS-2018
xgb,20.0,0.9910294217825031,3.3957671318867914e-05,0.9909555723044956,0.9910036541769593,0.9910359580171032,0.9910493977415646,0.9910981646330284,rot,CIC-IDS-2018
catboost,20.0,0.9935041016505674,0.0008204045735364765,0.992335328325352,0.9927705385994223,0.9935181268571541,0.9942438431224065,0.9949146632877808,rot,IoTID20
dt,20.0,0.9953054920780211,0.0010873850057767846,0.993016599885518,0.9944535575977087,0.9953188342956207,0.9960234412320911,0.9968871761023698,rot,IoTID20
lgbm,20.0,0.9989640910092765,7.437498775710798e-05,0.9988484078171784,0.9989229838220659,0.998963438823016,0.9989975108134367,0.999129677980853,rot,IoTID20
mlp,20.0,0.998036057110536,0.00031872000344021495,0.9975379530081272,0.9978139944914229,0.9979505102706614,0.9982839496295015,0.9987036026200874,rot,IoTID20
resnet,20.0,0.9950949653623127,0.00397386776190203,0.9794096311589756,0.9940915929043725,0.9964006137717931,0.9972270002927223,0.9977761304670126,rot,IoTID20
rf,20.0,0.9945135235205461,0.0009137678032128719,0.993139322248198,0.9938582467942648,0.994436776835196,0.995247307116128,0.9962309099417196,rot,IoTID20
saint,20.0,0.9950034472250959,0.002510754788879083,0.9901805538456312,0.9931358401144759,0.9955444118716175,0.9973693429276473,0.9980599248700576,rot,IoTID20
xgb,20.0,0.9992739941203027,4.517030136479095e-05,0.9991935724739404,0.9992469254233249,0.9992767737481559,0.999306594196292,0.9993429081010043,rot,IoTID20
