iteration,dataset,model,rotation,metric,value
3,CIC-IDS-2018,lgbm,rot,accuracy,0.995445022774886
4,CIC-IDS-2018,lgbm,rot,accuracy,0.995440022799886
5,CIC-IDS-2018,lgbm,rot,accuracy,0.995515022424888
6,CIC-IDS-2018,lgbm,rot,accuracy,0.995320023399883
7,CIC-IDS-2018,lgbm,rot,accuracy,0.995445022774886
8,CIC-IDS-2018,lgbm,rot,accuracy,0.9954650226748868
9,CIC-IDS-2018,lgbm,rot,accuracy,0.9954850225748872
10,CIC-IDS-2018,lgbm,rot,accuracy,0.9954600226998864
11,CIC-IDS-2018,lgbm,rot,accuracy,0.995480022599887
12,CIC-IDS-2018,lgbm,rot,accuracy,0.9954600226998864
13,CIC-IDS-2018,lgbm,rot,accuracy,0.9954850225748872
14,CIC-IDS-2018,lgbm,rot,accuracy,0.9954500227498864
15,CIC-IDS-2018,lgbm,rot,accuracy,0.995445022774886
16,CIC-IDS-2018,lgbm,rot,accuracy,0.9954650226748868
17,CIC-IDS-2018,lgbm,rot,accuracy,0.9954550227248864
18,CIC-IDS-2018,lgbm,rot,accuracy,0.9954950225248874
19,CIC-IDS-2018,lgbm,rot,accuracy,0.9954600226998864
20,CIC-IDS-2018,lgbm,rot,accuracy,0.9954700226498868
1,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
2,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
3,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
4,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
5,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
6,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
7,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
8,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
9,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
10,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
11,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
12,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
13,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
14,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
15,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
16,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
17,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
18,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
19,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
20,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
1,CIC-IDS-2018,catboost,rot,accuracy,0.9893550532247338
2,CIC-IDS-2018,catboost,rot,accuracy,0.987720061399693
3,CIC-IDS-2018,catboost,rot,accuracy,0.9886150569247154
4,CIC-IDS-2018,catboost,rot,accuracy,0.9879650601746992
5,CIC-IDS-2018,catboost,rot,accuracy,0.9910700446497768
6,CIC-IDS-2018,catboost,rot,accuracy,0.9900900495497522
7,CIC-IDS-2018,catboost,rot,accuracy,0.9893350533247334
8,CIC-IDS-2018,catboost,rot,accuracy,0.9889500552497238
9,CIC-IDS-2018,catboost,rot,accuracy,0.9891800540997296
10,CIC-IDS-2018,catboost,rot,accuracy,0.9879500602496988
11,CIC-IDS-2018,catboost,rot,accuracy,0.990440047799761
12,CIC-IDS-2018,catboost,rot,accuracy,0.9886600566997163
13,CIC-IDS-2018,catboost,rot,accuracy,0.9885900570497148
14,CIC-IDS-2018,catboost,rot,accuracy,0.9881100594497028
15,CIC-IDS-2018,catboost,rot,accuracy,0.9897400512997436
16,CIC-IDS-2018,catboost,rot,accuracy,0.98760006199969
17,CIC-IDS-2018,catboost,rot,accuracy,0.9899000504997476
18,CIC-IDS-2018,catboost,rot,accuracy,0.9884700576497116
19,CIC-IDS-2018,catboost,rot,accuracy,0.9899750501247494
20,CIC-IDS-2018,catboost,rot,accuracy,0.9877700611496942
1,CIC-IDS-2018,catboost,no_rot,accuracy,0.985915070424648
2,CIC-IDS-2018,catboost,no_rot,accuracy,0.985915070424648
3,CIC-IDS-2018,catboost,no_rot,accuracy,0.985915070424648
4,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
5,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
6,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
7,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
8,CIC-IDS-2018,catboost,no_rot,accuracy,0.985915070424648
9,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
10,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
11,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
12,CIC-IDS-2018,catboost,no_rot,accuracy,0.985915070424648
13,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
14,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
15,CIC-IDS-2018,catboost,no_rot,accuracy,0.985915070424648
16,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
17,CIC-IDS-2018,catboost,no_rot,accuracy,0.985915070424648
18,CIC-IDS-2018,catboost,no_rot,accuracy,0.985915070424648
19,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
20,CIC-IDS-2018,catboost,no_rot,accuracy,0.9859400702996484
1,CIC-IDS-2018,xgb,rot,accuracy,0.99560002199989
2,CIC-IDS-2018,xgb,rot,accuracy,0.995560022199889
3,CIC-IDS-2018,xgb,rot,accuracy,0.9956100219498902
4,CIC-IDS-2018,xgb,rot,accuracy,0.99560502197489
5,CIC-IDS-2018,xgb,rot,accuracy,0.9955850220748896
6,CIC-IDS-2018,xgb,rot,accuracy,0.9955800220998896
7,CIC-IDS-2018,xgb,rot,accuracy,0.9955750221248894
8,CIC-IDS-2018,xgb,rot,accuracy,0.9955800220998896
9,CIC-IDS-2018,xgb,rot,accuracy,0.9955900220498898
10,CIC-IDS-2018,xgb,rot,accuracy,0.9956300218498908
11,CIC-IDS-2018,xgb,rot,accuracy,0.9956100219498902
12,CIC-IDS-2018,xgb,rot,accuracy,0.9955900220498898
13,CIC-IDS-2018,xgb,rot,accuracy,0.99560502197489
14,CIC-IDS-2018,xgb,rot,accuracy,0.99560002199989
15,CIC-IDS-2018,xgb,rot,accuracy,0.99560002199989
16,CIC-IDS-2018,xgb,rot,accuracy,0.99560502197489
17,CIC-IDS-2018,xgb,rot,accuracy,0.9955800220998896
18,CIC-IDS-2018,xgb,rot,accuracy,0.9956200218998904
19,CIC-IDS-2018,xgb,rot,accuracy,0.99559502202489
20,CIC-IDS-2018,xgb,rot,accuracy,0.9956100219498902
1,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
2,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
3,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
4,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
5,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
6,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
7,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
8,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
9,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
10,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
11,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
12,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
13,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
14,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
15,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
16,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
17,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
18,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
19,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
20,CIC-IDS-2018,xgb,no_rot,accuracy,0.9956250218748908
1,CIC-IDS-2018,mlp,rot,accuracy,0.9930100349498252
2,CIC-IDS-2018,mlp,rot,accuracy,0.9930250348748256
3,CIC-IDS-2018,mlp,rot,accuracy,0.9928500357498212
4,CIC-IDS-2018,mlp,rot,accuracy,0.9930300348498258
5,CIC-IDS-2018,mlp,rot,accuracy,0.993120034399828
6,CIC-IDS-2018,mlp,rot,accuracy,0.9929950350248248
7,CIC-IDS-2018,mlp,rot,accuracy,0.9929250353748232
8,CIC-IDS-2018,mlp,rot,accuracy,0.9928300358498208
9,CIC-IDS-2018,mlp,rot,accuracy,0.985000074999625
10,CIC-IDS-2018,mlp,rot,accuracy,0.9931650341748292
11,CIC-IDS-2018,mlp,rot,accuracy,0.992325038374808
12,CIC-IDS-2018,mlp,rot,accuracy,0.9923850380748096
13,CIC-IDS-2018,mlp,rot,accuracy,0.9928150359248205
14,CIC-IDS-2018,mlp,rot,accuracy,0.9932650336748317
15,CIC-IDS-2018,mlp,rot,accuracy,0.9931000344998276
16,CIC-IDS-2018,mlp,rot,accuracy,0.9930100349498252
17,CIC-IDS-2018,mlp,rot,accuracy,0.99280003599982
18,CIC-IDS-2018,mlp,rot,accuracy,0.9815150924245378
19,CIC-IDS-2018,mlp,rot,accuracy,0.9924200378998104
20,CIC-IDS-2018,mlp,rot,accuracy,0.9927650361748191
1,CIC-IDS-2018,mlp,no_rot,accuracy,0.99320003399983
2,CIC-IDS-2018,mlp,no_rot,accuracy,0.9932200338998304
3,CIC-IDS-2018,mlp,no_rot,accuracy,0.9931900340498298
